name,description,storageIco,ico,homepage,github_user,github_repo
doctrine/dbal,Powerful PHP database abstraction layer (DBAL) with many features for database schema introspection and management.,,,https://www.doctrine-project.org/projects/doctrine-dbal/en/latest/,,
doctrine/sql-formatter,a PHP SQL highlighting library,,,,,
facade/ignition,A beautiful error page for Laravel applications.,,,,,
fakerphp/faker,Faker is a PHP library that generates fake data for you.,,http://fakerphp.org/images/favicon.ico,https://fakerphp.github.io/,,
fruitcake/laravel-cors,Adds CORS (Cross-Origin Resource Sharing) headers support in your Laravel application,,,,,
guzzlehttp/guzzle,Guzzle is a PHP HTTP client library,,,,,
intervention/image,PHP image manipulation,,,,,
jaeger/querylist,"Simple, elegant, extensible PHP Web Scraper (crawler/spider),Use the css3 dom selector,Based on phpQuery! 简洁、优雅、可扩展的PHP采集工具(爬虫)，基于phpQuery。",,,http://querylist.cc/docs/guide/v4/overview,,
laravel/framework,The Laravel Framework.,,,,,
laravel/laravel,The skeleton application for the Laravel framework.,,,,laravel,laravel
laravel/lumen,The Laravel Lumen Framework.,,,,laravel,lumen
laravel/sail,Docker files for running a basic Laravel application.,,,,,
laravel/sanctum,Laravel Sanctum provides a featherweight authentication system for SPAs and simple APIs.,,,,,
laravel/tinker,Powerful REPL for the Laravel framework.,,,,,
laravel/ui,Laravel UI utilities and presets.,,,,,
league/flysystem,File storage abstraction for PHP,,,https://flysystem.thephpleague.com/docs/,,
livewire/livewire,A front-end framework for Laravel.,,,,,
mockery/mockery,Mockery is a simple yet flexible PHP mock object framework,,,,,
monolog/monolog,"Sends your logs to files, sockets, inboxes, databases and various web services",,,,,
nikic/fast-route,Fast request router for PHP,,,,,
nunomaduro/collision,Cli error handling for console/command-line PHP applications.,,,,,
nwidart/laravel-modules,Laravel Module management,,https://laravelmodules.com/favicon.ico,https://laravelmodules.com/,,
owner888/phpspider,The PHPSpider Framework.,gitbook.ico,,https://doc.phpspider.org/,owner888,phpspider
phpmyadmin/sql-parser,A validating SQL lexer and parser with a focus on MySQL dialect.,,,,,
phpoffice/phpspreadsheet,"Read, Create and Write Spreadsheet documents in PHP - Spreadsheet engine",,,https://phpspreadsheet.readthedocs.io/en/latest/,,
phpunit/phpunit,The PHP Unit Testing framework.,,,,,
ramsey/uuid,A PHP library for generating and working with universally unique identifiers (UUIDs).,,,,,
rmccue/requests,"A HTTP library written in PHP, for human beings.",,,,,
sebastian/environment,Provides functionality to handle HHVM/PHP environments,,,,,
symfony/filesystem,Provides basic utilities for the filesystem,,,,symfony,filesystem
symfony/var-dumper,Provides mechanisms for walking through any arbitrary PHP variable,,,symfony,symfony,var-dumper
twig/twig,"Twig, the flexible, fast, and secure template language for PHP",,,https://twig.symfony.com/,,
vlucas/phpdotenv,"Loads environment variables from `.env` to `getenv()`, `$_ENV` and `$_SERVER` automagically.",,,,,
wapmorgan/unified-archive,"an archive manager with unified interface of working with all popular archive formats (zip/7z/rar/gz/bz2/xz/cab/tar/tar.gz/tar.bz2/tar.x/tar.Z/...) for PHP with ability for listing, reading, extracting and creation + built-in console archive manager.",,,,,
wazaari/monolog-mysql,A handler for Monolog that sends messages to MySQL,,,,,
zircote/swagger-php,Generate interactive documentation for your RESTful API using phpdoc annotations,,,,,
