title,ico,url,description,order
百度题库_智能考试题库_让每个人都能高效提分的智能题库 - 百度文库,,https://tiku.baidu.com/,"百度题库旨在为考生提供高效的智能备考服务，覆盖领域有高考、财会类、建筑工程、职业资格、医卫类、计算机类和学历类等。拥有优质丰富的学习资料和备考全阶段的高效服务，助您不断前行！",
问答库_做最有用的题库问答学习平台,https://assets.asklib.com/asset/pc/images/favicon.ico,https://www.asklib.com/,问答库收录了数百万的公务员考试，建筑工程，IT认证，资格考试，会计从业，医药考试，外语考试，外贸考试，学历考试等各类题库以及一些常见的普通练习的题目题库供大家查询,
职业教育题库_在线题库_问答题库_搜题王_题王网,,http://www.tiw.cn/,题王网(www.tiw.cn)旨在为广大考生提供高效的智能题库备考服务，全面覆盖财经类、建筑类、资格类、医卫类、计算机类等领域。题王拥有优质丰富的学习资料和备考阶段的高效服务，找题上题王(tiw.cn,
高校试题库,,http://gxtiku.com/,高校试题库，提供国内最新的教材教案、试题、试卷在线学习和测试学生成绩。,
必练库网,,http://www.bilianku.com/,必练库网拥有海量题库，为您提供在线考试题库、网上考试中心、在线模拟考试、在线考试系统、在线答题等多功能服务，简单便捷的操作帮助您顺利通过各种考试。,
在线考试题库_网上考试中心_在线模拟考试-必练库网,,http://www.bilianku.com/,必练库网拥有海量题库，为您提供在线考试题库、网上考试中心、在线模拟考试、在线考试系统、在线答题等多功能服务，简单便捷的操作帮助您顺利通过各种考试。,
k12在线试题库试题及答案-云返教育,,http://edu.why8.cn/,,
学习强国挑战答题_在线搜题答案查询,,http://www.syiban.com/,学习强国挑战答题、四人赛、双人对战、蚂蚁庄园今日答案等资料内容实时更新，看看答案开通在线搜题答案查询功能，欢迎相互交流学习。,
Tiku.cn 题库网,,http://www.tiku.cn/,,
AI智能组卷平台_在线题库_试卷模板-考卷网,,https://kaojuanwang.com/,"考卷网(kaojuanwang.com),一个依托百万量级的中小学在线题库 创建的组卷系统,试卷涵盖全国各地中小学学科教材版本,试题质量高、更新快,是深受广大中小学教师喜爱的在线组卷平台。-考卷网",
百万题库网-作业在线搜题的问答库免费试题答案圈,,https://www.baiwantiku.com/,"百万题库网专业提供免费在线搜题及搜题库搜答案网站,作业在线搜题的问答库免费试题答案圈，在线搜题免费使用、考试试题、试题答案、试题解析、试卷答案、免费搜答案、作业搜题、网课搜题、考证搜题、大学搜题、拍照搜题、在线搜题找答案、找题库找试题、语音搜题、在线搜题免费查答案等服务。",
考试题库及答案_历年真题_在线做题_在线题库-好大学,,https://www.haodaxue.net/,好大学为广大学子提供所有专业证书考试题库及答案，其中包含学历类、职业证书、建筑类、财会类、公务员、医卫类、外语类、外贸类等，并且可在线做题在线查看答案，查询便捷，使用方便，试题在线模拟就来好大学。,
考试酷(examcoo)-永久免费的电子作业与在线考试系统云平台,,https://www.examcoo.com/,"考试酷网站是由广州创讯软件有限公司开发和运营的一个永久免费的在线考试系统,网络考试系统,提供在线考试,电子作业,自测练习和模拟考试,智能组卷,试卷分享,试题库等考试系统和考试相关服务.",
无忧题库网-为你打造自己的专属题库，海量试题免费在线使用,,http://5utk.ks5u.com/,无忧题库在线系统，拥有几十万道试题，是一个包括高一、高二、高三月考、期中、期末、同步测试、课后练习、模拟试题以及历年高考真题的全真在线题库网站，提供试题分享、试题解析等多种服务，是高中教师和学生的课后练习、考前辅导的必备工具,
可圈可点组卷,,http://cooco.net.cn/,"初中 高中 物理 化学 数学 语文 英语 生物 历史 政治 地理 九门功课 组卷 ，测评，教案  ,试题 ,试卷",
考试资料网_考试试题_考试题库_找答案就上考试资料网,,https://www.ppkao.com/,考试资料网目前已为广大考友提供10万套在线试卷进行全真测试、模拟练习，同时提供公务员，外语类，财会类，建筑类，职业资格，学历考试，医药类，外贸类，计算机类等考试的报名时间、考试时间、考试大纲、成绩查询等相关资讯以及历年真题、模拟试题、名师视频辅导课程等备考资料；是一个集资料下载与在线考试系统、资讯发布于一体的学习资料网站。,
简答题 - 简洁、实用的找答案题库,,https://www.jiandati.com/,简答题汇集了各职业资格考试真题与大学网课（超星尔雅、学习通、云青书学堂、知到、智慧树、中国大学慕课等）题目，拥有真实可靠的答案，并为您提供答案解析与错题记录，是各类考生提升成绩的不二选择。,
公开真题库|公务员、事业单位、教师资格、软考等考试题库！,,https://www.gkzenti.cn/,本站提供公务员考试、事业单位考试、教师资格考试、软考等真题整套在线打印和下载服务，包含行测、申论、面试、综合基础知识、职能测试、软考等。,
