title,ico,url,description,order
"魔众软件 | 面向交付的软件提供商",,https://www.tecmz.com/,魔众专注互联网系统的研发，是一个面向交付的软件提供商，集中了一批以技术为梦想的年轻人，提供高标准面向交付的软件技术输出服务，帮助您实现互联网产品快速落地。,
"瑞文网 - 为您提供优质实用美文！",,https://www.ruiwen.com/,瑞文网，为您提供优质实用美文！包含随笔、日记、古诗文、实用文、总结、计划、祝福语、句子、职场文档等，为您写作提供指导和优质素材。,
"历史车轮 - 历史·数据·可视化",,https://www.lishichelun.com/,提供人物、事实、地区等数据，朝代、皇帝、年号、时间等信息，长河图、卷轴、时间轴、家族树、简易地图等可视化工具，以及史料和讨论等相关内容。,
懒人Excel,,https://www.lanrenexcel.com/,Excel 函数公式、操作技巧、数据分析、图表模板、VBA、数据透视表教程,
"超能搜 - 百度网盘搜索神器",,https://www.chaonengsou.com/,超能搜搜索引擎收录了数十款百度网盘搜索引擎，百度云网盘搜索工具，百度云网盘解析工具，最干净、最好用的资源搜索引擎。提供影视、书籍、软件等资源推荐以及整合信息，让我们更快捷、更平等的获取资源信息,
AcWing,https://cdn.acwing.com/static/web/img/favicon.ico,https://www.acwing.com/,一个专属于程序员的平台，为大家在漫漫的刷题之旅中，提供最优质的解答,
"VisuAlgo - 通过动画可视化数据结构和算法",,https://visualgo.net/zh,"VisuAlgo 于2011年由Steven Halim博士构想出来，作为一个工具，帮助他的学生更好地理解数据结构和算法，让他们能够自学基础知识并按照自己的节奏进行。他与新加坡国立大学的学生一起开发并整合了一系列的可视化，从简单的排序算法到复杂的图形数据结构。虽然这些设计主要是为了新加坡国立大学的学生使用，他们正在学习各种数据结构和算法课程（CS1010/等价课程，CS2040/等价课程，CS3230，CS3233和CS4234），但作为在线学习的倡导者，我们希望全世界充满好奇心的人也会发现这些可视化同样有用。",
"资源帝",,https://shu.ziyuandi.cn/,资源帝电子书在这里发现更多好书...,
"这里有猫-听猫打呼噜",,https://m.niucodata.com/cat/cat.php,想象一下，有一只猫就躺在你旁边打呼噜,
VisualCode,,,,
